nm, %R
546.000000, 114.516700
545.000000, 114.482500
544.000000, 114.507100
543.000000, 114.482200
542.000000, 114.408800
541.000000, 114.504800
540.000000, 114.407300
539.000000, 114.436900
538.000000, 114.476000
537.000000, 114.414000
536.000000, 114.353100
535.000000, 114.441600
534.000000, 114.478000
533.000000, 114.440800
532.000000, 114.426600
531.000000, 114.367200
530.000000, 114.323400
529.000000, 114.419200
528.000000, 114.441100
527.000000, 114.434600
526.000000, 114.459700
525.000000, 114.344800
524.000000, 114.454200
523.000000, 114.319500
522.000000, 114.435300
521.000000, 114.281600
520.000000, 114.301800
519.000000, 114.339400
518.000000, 114.388800
517.000000, 114.362600
516.000000, 114.339500
515.000000, 114.358400
514.000000, 114.319000
513.000000, 114.391800
512.000000, 114.444500
511.000000, 114.491300
510.000000, 114.494900
509.000000, 114.576400
508.000000, 114.513700
507.000000, 114.553600
506.000000, 114.550400
505.000000, 114.730300
504.000000, 114.612600
503.000000, 114.459500
502.000000, 114.557500
501.000000, 114.452900
500.000000, 114.616800
499.000000, 114.539100
498.000000, 114.585500
497.000000, 114.464200
496.000000, 114.582100
495.000000, 114.583300
494.000000, 114.439300
493.000000, 114.497900
492.000000, 114.508500
491.000000, 114.506900
490.000000, 114.490200
489.000000, 114.401700
488.000000, 114.449000
487.000000, 114.434400
486.000000, 114.173400
485.000000, 114.336700
484.000000, 114.013400
483.000000, 114.162000
482.000000, 113.974800
481.000000, 113.974500
480.000000, 113.979400
479.000000, 114.021500
478.000000, 114.041500
477.000000, 113.988700
476.000000, 114.027600
475.000000, 113.943100
474.000000, 113.976500
473.000000, 113.937000
472.000000, 114.036300
471.000000, 114.074000
470.000000, 113.851700
469.000000, 113.826900
468.000000, 113.996900
467.000000, 113.865800
466.000000, 113.938200
465.000000, 113.878300
464.000000, 113.989600
463.000000, 113.891200
462.000000, 113.966900
461.000000, 113.915400
460.000000, 113.828600
459.000000, 113.920300
458.000000, 113.971500
457.000000, 113.844800
456.000000, 113.926500
455.000000, 113.864700
454.000000, 113.981400
453.000000, 114.037900
452.000000, 114.045900
451.000000, 114.025600
450.000000, 113.883900
449.000000, 114.064800
448.000000, 113.975600
447.000000, 114.189300
446.000000, 114.046000
445.000000, 114.035800
444.000000, 113.943800
443.000000, 114.077700
442.000000, 113.929300
441.000000, 114.222900
440.000000, 114.112800
439.000000, 114.033100
438.000000, 114.251200
437.000000, 114.301500
436.000000, 114.184300
435.000000, 114.139600
434.000000, 114.265500
433.000000, 114.286400
432.000000, 114.253900
431.000000, 114.346800
430.000000, 114.332700
429.000000, 114.323100
428.000000, 114.405700
427.000000, 114.255000
426.000000, 114.407000
425.000000, 114.337200
424.000000, 114.356700
423.000000, 114.492500
422.000000, 114.441300
421.000000, 114.578800
420.000000, 114.688600
419.000000, 114.793200
418.000000, 114.595300
417.000000, 114.814800
416.000000, 114.545400
415.000000, 114.827900
414.000000, 114.799900
413.000000, 114.850200
412.000000, 114.550700
411.000000, 114.623300
410.000000, 114.434800
409.000000, 114.484100
408.000000, 114.091100
407.000000, 113.994400
406.000000, 113.797300
405.000000, 113.837800
404.000000, 113.872100
403.000000, 113.666400
402.000000, 113.711500
401.000000, 113.341300
400.000000, 113.236100
399.000000, 113.023500
398.000000, 112.560000
397.000000, 112.567900
396.000000, 112.471200
395.000000, 112.403000
394.000000, 112.133300
393.000000, 111.905000
392.000000, 111.591600
391.000000, 111.688400
390.000000, 111.467500
389.000000, 111.196400
388.000000, 110.882900
387.000000, 110.923800
386.000000, 110.658000
385.000000, 110.347200
384.000000, 110.124700
383.000000, 109.873200
382.000000, 109.875000
381.000000, 109.678500
380.000000, 109.278900
379.000000, 101.805300
378.000000, 101.867200
377.000000, 101.764000
376.000000, 102.279000
375.000000, 102.294200
374.000000, 102.509700
373.000000, 102.579800
372.000000, 102.372900
371.000000, 102.573500
370.000000, 102.664100
369.000000, 102.648200
368.000000, 102.526500
367.000000, 102.733600
366.000000, 102.754300
365.000000, 102.762300
364.000000, 102.667700
363.000000, 102.644100
362.000000, 102.743600
361.000000, 102.577900
360.000000, 102.896800
359.000000, 102.802300
358.000000, 102.448300
357.000000, 102.526500
356.000000, 102.580400
355.000000, 102.530700
354.000000, 102.583000
353.000000, 102.601400
352.000000, 102.315200
351.000000, 102.382700
350.000000, 102.458600
