nm, %R
546.000000, 91.191328
545.000000, 91.203721
544.000000, 91.218186
543.000000, 91.169370
542.000000, 91.338603
541.000000, 91.303421
540.000000, 91.330885
539.000000, 91.247229
538.000000, 91.273367
537.000000, 91.355603
536.000000, 91.422707
535.000000, 91.286560
534.000000, 91.180576
533.000000, 91.227604
532.000000, 91.235604
531.000000, 91.268563
530.000000, 91.387240
529.000000, 91.241330
528.000000, 91.126352
527.000000, 91.128732
526.000000, 90.978659
525.000000, 91.041569
524.000000, 90.923356
523.000000, 90.978355
522.000000, 90.951044
521.000000, 90.941849
520.000000, 90.845988
519.000000, 90.746497
518.000000, 90.661323
517.000000, 90.527760
516.000000, 90.529257
515.000000, 90.508087
514.000000, 90.472975
513.000000, 90.318624
512.000000, 90.145092
511.000000, 90.059070
510.000000, 89.960426
509.000000, 89.975423
508.000000, 89.862698
507.000000, 89.804685
506.000000, 89.838447
505.000000, 89.533454
504.000000, 89.672950
503.000000, 89.607678
502.000000, 89.580866
501.000000, 89.699256
500.000000, 89.575176
499.000000, 89.571596
498.000000, 89.574946
497.000000, 89.662969
496.000000, 89.545313
495.000000, 89.629815
494.000000, 89.770472
493.000000, 89.702431
492.000000, 89.744691
491.000000, 89.739920
490.000000, 89.789868
489.000000, 89.973925
488.000000, 89.976671
487.000000, 90.063565
486.000000, 90.289419
485.000000, 90.179968
484.000000, 90.507519
483.000000, 90.380599
482.000000, 90.521501
481.000000, 90.418559
480.000000, 90.440466
479.000000, 90.315335
478.000000, 90.275645
477.000000, 90.248244
476.000000, 90.061617
475.000000, 90.076012
474.000000, 90.085588
473.000000, 89.996928
472.000000, 89.875855
471.000000, 89.828445
470.000000, 89.827029
469.000000, 89.763052
468.000000, 89.663315
467.000000, 89.715613
466.000000, 89.606822
465.000000, 89.493433
464.000000, 89.543783
463.000000, 89.530183
462.000000, 89.270042
461.000000, 89.318301
460.000000, 89.402663
459.000000, 89.268550
458.000000, 89.325051
457.000000, 89.375360
456.000000, 89.147740
455.000000, 89.326104
454.000000, 89.224996
453.000000, 89.136068
452.000000, 89.152438
451.000000, 89.102096
450.000000, 89.303844
449.000000, 89.043246
448.000000, 89.208655
447.000000, 88.886174
446.000000, 89.102994
445.000000, 89.185764
444.000000, 89.161411
443.000000, 89.217086
442.000000, 89.133173
441.000000, 88.937945
440.000000, 88.990280
439.000000, 89.107636
438.000000, 88.987337
437.000000, 88.829980
436.000000, 88.850131
435.000000, 88.964216
434.000000, 88.776927
433.000000, 88.777842
432.000000, 88.781477
431.000000, 88.745903
430.000000, 88.778888
429.000000, 88.739371
428.000000, 88.617263
427.000000, 88.782635
426.000000, 88.572028
425.000000, 88.641754
424.000000, 88.542079
423.000000, 88.270236
422.000000, 88.456615
421.000000, 88.348717
420.000000, 88.227339
419.000000, 88.150605
418.000000, 88.223775
417.000000, 88.022102
416.000000, 88.257058
415.000000, 88.112993
414.000000, 88.019937
413.000000, 87.922355
412.000000, 88.223555
411.000000, 88.114022
410.000000, 88.185674
409.000000, 88.123067
408.000000, 88.289972
407.000000, 88.460135
406.000000, 88.583121
405.000000, 88.522442
404.000000, 88.437642
403.000000, 88.685135
402.000000, 88.661217
401.000000, 88.865753
400.000000, 88.972245
399.000000, 89.051569
398.000000, 89.301173
397.000000, 89.445126
396.000000, 89.461658
395.000000, 89.529906
394.000000, 89.654991
393.000000, 89.928779
392.000000, 90.190211
391.000000, 90.104881
390.000000, 90.229260
389.000000, 90.390426
388.000000, 90.661049
387.000000, 90.617613
386.000000, 90.811871
385.000000, 91.107432
384.000000, 91.200248
383.000000, 91.315990
382.000000, 91.476041
381.000000, 91.478093
380.000000, 91.886997
379.000000, 98.122593
378.000000, 98.127464
377.000000, 98.175386
376.000000, 97.717811
375.000000, 97.749237
374.000000, 97.532624
373.000000, 97.641836
372.000000, 97.763178
371.000000, 97.540495
370.000000, 97.600914
369.000000, 97.480521
368.000000, 97.504353
367.000000, 97.440370
366.000000, 97.381521
365.000000, 97.457044
364.000000, 97.536713
363.000000, 97.454018
362.000000, 97.509723
361.000000, 97.605625
360.000000, 97.309440
359.000000, 97.406089
358.000000, 97.722656
357.000000, 97.628418
356.000000, 97.440447
355.000000, 97.510014
354.000000, 97.481746
353.000000, 97.460561
352.000000, 97.807364
351.000000, 97.709086
350.000000, 97.632019
349.000000, 97.737211
348.000000, 97.861932
347.000000, 98.375444
346.000000, 97.969237
345.000000, 98.207269
344.000000, 98.118073
343.000000, 98.194843
342.000000, 98.174165
341.000000, 98.385442
340.000000, 98.382885
339.000000, 98.198062
338.000000, 98.444064
337.000000, 98.139838
336.000000, 98.491510
335.000000, 98.553108
334.000000, 98.681228
333.000000, 98.673279
332.000000, 98.682367
331.000000, 98.606114
330.000000, 98.319502
329.000000, 98.708381
328.000000, 98.952682
327.000000, 98.868971
326.000000, 98.993938
325.000000, 98.978241
324.000000, 99.112436
323.000000, 99.393206
322.000000, 99.150126
321.000000, 99.717692
320.000000, 99.458709
319.000000, 99.331336
318.000000, 99.407593
317.000000, 99.393354
316.000000, 99.463587
315.000000, 99.388556
314.000000, 99.311305
313.000000, 99.341776
312.000000, 99.153335
311.000000, 99.515539
310.000000, 99.573797
309.000000, 99.580998
308.000000, 99.311559
307.000000, 99.523397
306.000000, 99.346759
305.000000, 99.892514
304.000000, 99.412183
303.000000, 99.320128
302.000000, 99.238031
301.000000, 99.452917
300.000000, 99.324571
299.000000, 99.461227
298.000000, 99.282582
297.000000, 99.296978
296.000000, 99.289774
295.000000, 99.233141
294.000000, 99.393411
293.000000, 99.141465
292.000000, 99.282267
291.000000, 99.247142
290.000000, 99.102567
289.000000, 99.147906
288.000000, 99.296545
287.000000, 99.217688
286.000000, 99.408129
285.000000, 99.223632
284.000000, 99.097013
283.000000, 99.209535
282.000000, 98.886203
281.000000, 99.187869
280.000000, 99.134413
279.000000, 99.140473
278.000000, 99.398867
277.000000, 99.306342
276.000000, 99.352382
275.000000, 99.125406
274.000000, 99.257714
273.000000, 99.347324
272.000000, 99.134198
271.000000, 99.373171
270.000000, 99.100478
269.000000, 99.519825
268.000000, 98.784583
267.000000, 99.053988
266.000000, 99.272335
265.000000, 99.375296
264.000000, 99.080802
263.000000, 98.815277
262.000000, 99.191567
