nm, %R
800.000000, 92.665026
799.000000, 92.530705
798.000000, 92.678876
797.000000, 92.432284
796.000000, 92.283975
795.000000, 91.907098
794.000000, 92.136508
793.000000, 92.086095
792.000000, 92.162541
791.000000, 92.211415
790.000000, 91.716792
789.000000, 91.392165
788.000000, 91.030814
787.000000, 90.815478
786.000000, 90.634994
785.000000, 90.479829
784.000000, 90.531989
783.000000, 90.457774
782.000000, 90.375897
781.000000, 90.276210
780.000000, 90.115765
779.000000, 90.286265
778.000000, 89.877252
777.000000, 89.818649
776.000000, 89.708499
775.000000, 89.497245
774.000000, 89.559959
773.000000, 89.303677
772.000000, 89.315899
771.000000, 89.460841
770.000000, 88.895259
769.000000, 88.942519
768.000000, 88.861689
767.000000, 88.700017
766.000000, 88.895793
765.000000, 88.638556
764.000000, 88.800676
763.000000, 88.349681
762.000000, 88.382552
761.000000, 88.115633
760.000000, 88.048153
759.000000, 88.167267
758.000000, 87.753469
757.000000, 87.710376
756.000000, 87.860496
755.000000, 87.463556
754.000000, 87.516842
753.000000, 87.369005
752.000000, 87.209033
751.000000, 87.276268
750.000000, 86.914316
749.000000, 86.762302
748.000000, 86.656302
747.000000, 86.474174
746.000000, 86.455787
745.000000, 86.315013
744.000000, 86.374768
743.000000, 85.908827
742.000000, 85.760066
741.000000, 85.660088
740.000000, 85.650794
739.000000, 85.654799
738.000000, 85.314027
737.000000, 85.477872
736.000000, 85.430253
735.000000, 85.082254
734.000000, 85.044206
733.000000, 84.876488
732.000000, 84.944857
731.000000, 84.649530
730.000000, 84.507612
729.000000, 84.591477
728.000000, 82.764867
727.000000, 82.767410
726.000000, 82.570685
725.000000, 82.623219
724.000000, 82.408681
723.000000, 82.363692
722.000000, 82.275442
721.000000, 82.113006
720.000000, 81.835703
719.000000, 81.802088
718.000000, 81.889222
717.000000, 82.028654
716.000000, 81.694939
715.000000, 81.980121
714.000000, 82.128819
713.000000, 81.977429
712.000000, 81.905824
711.000000, 82.168764
710.000000, 82.034296
709.000000, 81.889958
708.000000, 82.042780
707.000000, 82.061788
706.000000, 82.121689
705.000000, 82.121906
704.000000, 82.030936
703.000000, 82.171118
702.000000, 82.101315
701.000000, 82.185137
700.000000, 82.108096
699.000000, 82.261214
698.000000, 82.095268
697.000000, 82.158052
696.000000, 82.165558
695.000000, 82.296488
694.000000, 82.425883
693.000000, 82.292482
692.000000, 82.516892
691.000000, 82.430979
690.000000, 82.412742
689.000000, 82.680054
688.000000, 82.620995
687.000000, 82.532944
686.000000, 82.632248
685.000000, 82.574951
684.000000, 82.548038
683.000000, 82.499935
682.000000, 82.689859
681.000000, 82.550491
680.000000, 82.531544
679.000000, 82.702417
678.000000, 82.649617
677.000000, 82.672433
676.000000, 82.675016
675.000000, 82.773979
674.000000, 82.665357
673.000000, 82.589983
672.000000, 82.860057
671.000000, 82.884165
