geometry,f_Al,Al_total_nm,Al2O3_total_nm,Re_eps_parallel_min,Re_eps_parallel_max,Re_eps_perpendicular_min,Re_eps_perpendicular_max,real_part_product_min,real_part_product_max,type_II_at_all_wavelengths
Nominal design,0.4166666666666667,25.0,35.0,-12.067378172831003,-0.5516464231306668,5.672194593971944,7.4979789000068005,-68.44851723534704,-4.136233240897963,True
Secondary sensitivity,0.49726453396297043,34.539,34.919,-15.006531325024266,-1.30633153595499,6.729164158263365,9.31678073972797,-100.98141273220973,-12.162047128071523,True
