wavelength_nm,Re_eps_parallel_nominal_design,Im_eps_parallel_nominal_design,Re_eps_perpendicular_nominal_design,Im_eps_perpendicular_nominal_design,real_part_product_nominal_design,Re_eps_parallel_secondary_sensitivity,Im_eps_parallel_secondary_sensitivity,Re_eps_perpendicular_secondary_sensitivity,Im_eps_perpendicular_secondary_sensitivity,real_part_product_secondary_sensitivity
245.473785,-0.5516464231306668,1.6261972688183333,7.4979789000068005,1.8920336527702326,-4.136233240897963,-1.30633153595499,1.940760544825929,9.310076954684012,3.825534616590541,-12.162047128071523
247.055832,-0.58591876901875,1.6314786062366669,7.487436640405575,1.8503447964665625,-4.3870296594523195,-1.3467420402995194,1.9470634771219983,9.316261963928726,3.7417243883358324,-12.54660164526618
248.637939,-0.62009550619275,1.63832703383,7.474559400557245,1.8098029456725404,-4.634940695056323,-1.3870386282000913,1.9552366294953853,9.31678073972797,3.65878313374445,-12.922734776473314
250.220062,-0.6539433902976668,1.646435718,7.459859102895943,1.7707252406738492,-4.878325552890685,-1.4269429377075318,1.9649138160270208,9.31248128869471,3.5776986612317923,-13.288379407436452
251.802216,-0.6873224923739167,1.6555259350333333,7.44378322706341,1.7332634279334111,-5.11627964031638,-1.4662872657228196,1.9757623981151071,9.304201255954185,3.499081344279014,-13.642631819327887
253.38443,-0.720156493338084,1.6653319203975,7.42675280274922,1.6974666568774313,-5.348424255316664,-1.5049812379247645,1.9874652030962914,9.292781838799254,3.423295187532088,-13.98546231552087
254.966675,-0.7524216847543337,1.67561179268,7.409118302952674,1.6633015664656392,-5.57478127605182,-1.5429965598390554,1.9997335612557063,9.278976797748744,3.3504893878288016,-14.317429277752726
256.54895,-0.7841292621447509,1.6861334578825002,7.39118554855504,1.6306861043593759,-5.795644870563409,-1.5803465925922655,2.0122904835199518,9.26347516317737,3.2806777098497393,-14.639501409690437
258.131287,-0.8153360721573344,1.6966915255250001,7.3731916738557395,1.5994865672012732,-6.0116291386247,-1.6170984730351756,2.0248908497258653,9.246856927853198,3.213728790323527,-14.95307821840614
259.713654,-0.8461244212816663,1.707084383316667,7.355361117610344,1.5695520704290868,-6.223550668955722,-1.6533511350634027,2.037294048733025,9.229668787687947,3.1494531562414956,-15.259883366383127
261.296051,-0.8766195723194166,1.7171295436758336,7.337863694650659,1.5406962557985795,-6.4325149337428345,-1.6892540716738131,2.0492822934960273,9.212364439851799,3.0875617179355506,-15.562024139762698
